emotion,lyric
사랑,나도 알아 날 괴롭히는 것도
사랑,고민은 항상 날 무너트리네
사랑,세상에 맘껏 날 쏟아부어도
사랑,남아있는 건 나 하나
사랑,이젠 나를 보면 찡해
사랑,그저 나도 날 알까말까
사랑,이런 모든 게 다 죄라면
사랑,이젠 나를 보며 듣고 느껴
사랑,이제 난 달라달라
사랑,I'm not sure anymore
사랑,Keep try try try try try try try
사랑,날 흔들었던 문제들도 다
사랑,널 보고 있음 알 것 같아 난
사랑,Yeah yeah
사랑,어디든 갈 수 있어 펼쳐진 돛처럼
사랑,그곳은 아마 그려오던 그림이 되어
사랑,남아 있는 건 나 하나
사랑,이젠 나를 보면 어때
사랑,기뻐 아니면 같아 같아
사랑,이런 모든 게 다 나라면
사랑,이젠 나를 보여 줄게
사랑,그래 나는 달라달라달라
사랑,Not sure anymore
사랑,너는 나의 사랑 너는 나의 행복 소중한 사람
사랑,비가 내리면 함께 맞아줄 둘도 없는 내 사랑
사랑,달콤한 노래를 부르면 너의 두 눈이 미소 짓고
사랑,네 볼에 입 맞추면 수줍어하지
사랑,밤새 전화기를 붙들고 무슨 할 말이 많았는지
사랑,끊을땐 아쉬워 먼저 못 끊지
사랑,오 너는 나의 사랑 너는 나의 행복 소중한 사람
사랑,오 세상 어떤 사람 세상 어떤 말로도 너를 대신 못해
사랑,난 말야 오직 너 하나뿐야 너를 사랑해
사랑,집 앞까지 바래다주고 너의 방 불빛이 켜지면
사랑,그때서야 가는걸 너는 몰랐지
사랑,신발을 사주고 싶은데 그럼 네가 떠나 갈까봐
사랑,가게 앞에서 늘 고민만 하지
사랑,해바라기 같은 사랑만 주고 싶어
사랑,오직 한 사람 내겐 첫 사랑 너에게
사랑,너도 말해 줄래 내게 말해 줄래 좋아한다고
사랑,너도 나 만큼 하늘 땅만큼 나를 사랑한다고
사랑,오 많은 인연 속에 많은 사람들 중에 우리 둘뿐이야
사랑,고마워 네가 내게 와줘서 너무 행복해
사랑,너를 사랑해
사랑,워~ Oh baby
사랑,사랑해
사랑,사랑해 사랑해 사랑해
사랑,매일 아침 눈을 뜰 때마다
사랑,나를 설레게 하는 사람
사랑,나의 심장이 살아 숨쉰다는 걸
사랑,가르쳐 주는 사람
사랑,벅찬 가슴으로 힘껏 달려가
사랑,보고 싶었다고 말할 수 있는
사랑,네가 있다는 것 하나만으로
사랑,내 하루는 눈부셔
사랑,너를 사랑해 가슴이 뛰도록
사랑,매일 감사해 눈물이 나도록
사랑,내가 태어난 이유 내가
사랑,살아갈 이유 너였던 거야
사랑,너를 위해 난 존재해
사랑,옆에 있단 이유만으로도
사랑,어깰 펴지게 하는 사람
사랑,빈틈 많은 내 삶을 미소로
사랑,가득 채워준 단 한 사람
사랑,기쁜 날엔 함께 웃을 수 있고
사랑,힘든 날엔 서로 기댈 수 있는
사랑,이 세상은 살만해
사랑,널 향한 나의 고마움
사랑,살아가며 전부 갚아갈게
사랑,나의 곁에 있던 모든
사랑,날 단 한 점도 후회 없게
사랑,사랑해 사랑해 소중한 내 사람
사랑,삶의 끝까지 함께할 한 사람
사랑,네가 곁에 있는 게 네가
사랑,내 사람인 게 너무 감사해
사랑,그게 너라서
사랑,하루만큼 매일 더
사랑,네 맘보다 내가 더 많이 사랑해
사랑,가슴 뛰도록 사랑해
사랑,언제나 너의 곁에 있어 줄게
