id,love,joy,passion,happiness,sadness,anger,loneliness,longing,fear,surprise
0.0,0.56487,0.1206,0.06311,0.05661,0.02632,0.0257,0.01033,0.01932,0.00634,0.1068
1.0,0.49556,0.21778,0.08924,0.06675,0.04702,0.03239,0.02005,0.01942,0.00632,0.00546
2.0,0.50269,0.18707,0.09221,0.09208,0.0448,0.03798,0.01866,0.01826,0.00625,0.0
3.0,0.55686,0.2045,0.08214,0.05793,0.03526,0.03256,0.0154,0.01194,0.00342,0.0
4.0,0.57178,0.17224,0.087,0.06664,0.03495,0.03182,0.01271,0.01725,0.00561,0.0
5.0,0.60326,0.16158,0.0762,0.05818,0.03692,0.02984,0.01756,0.01313,0.00333,0.0
6.0,0.60277,0.12717,0.07913,0.04584,0.05104,0.04598,0.02599,0.01403,0.00805,0.0
7.0,0.51529,0.21532,0.07892,0.05443,0.0447,0.03753,0.02213,0.02263,0.00904,0.0
8.0,0.58779,0.19248,0.08291,0.05335,0.03149,0.02162,0.01298,0.01217,0.00522,0.0
9.0,0.56438,0.18303,0.08104,0.07294,0.03607,0.02654,0.01695,0.01388,0.00517,0.0
10.0,0.57453,0.18516,0.09866,0.05323,0.0366,0.0323,0.01105,0.00654,0.00194,0.0
11.0,0.5617,0.22497,0.07359,0.05738,0.03002,0.02754,0.01174,0.00939,0.00367,0.0
12.0,0.5064,0.20916,0.07703,0.05721,0.05464,0.04352,0.02304,0.01901,0.01,0.0
13.0,0.55417,0.18742,0.0755,0.05273,0.04846,0.03794,0.02019,0.01567,0.00792,0.0
14.0,0.58839,0.19199,0.08658,0.05596,0.02771,0.02796,0.00879,0.01038,0.00225,0.0
15.0,0.57227,0.19007,0.06617,0.05501,0.04255,0.04191,0.01793,0.00936,0.00473,0.0
16.0,0.54932,0.18283,0.10775,0.06203,0.03252,0.02928,0.01552,0.01533,0.00541,0.0
17.0,0.45475,0.1938,0.12613,0.08367,0.05976,0.0378,0.0226,0.01622,0.00526,0.0
18.0,0.65429,0.16683,0.05284,0.05429,0.02489,0.0189,0.00827,0.01526,0.00443,0.0
19.0,0.51594,0.18324,0.09203,0.06063,0.04478,0.04159,0.02288,0.01802,0.00724,0.01367
20.0,0.5674,0.21834,0.0844,0.04088,0.03605,0.02775,0.01167,0.01098,0.00253,0.0
21.0,0.55372,0.2081,0.08021,0.05885,0.03514,0.02921,0.01476,0.01474,0.00528,0.0
